City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,mata-utu,-13.2816,-176.1745,26.8,84,100,7.47,WF,1724609519
122,moranbah,-22.0016,148.0466,14.98,86,6,3.88,AU,1724609521
123,bontang,0.1333,117.5,25.02,90,78,4.65,ID,1724609522
124,colonia,50.9333,6.95,21.65,50,0,1.03,DE,1724609446
125,caburan,5.9181,125.6411,25.5,81,98,1.5,PH,1724609524
126,avarua,-21.2078,-159.775,22.03,68,75,7.2,CK,1724609525
127,ocean city,39.2776,-74.5746,30.1,66,30,4.92,US,1724609526
128,san julian,21.0167,-102.1667,22.37,54,1,2.71,MX,1724609528
129,ahvaz,31.3203,48.6693,37.97,47,4,0.0,IR,1724609529
130,paragominas,-2.9667,-47.4833,38.43,22,67,1.93,BR,1724609530
131,sitka,57.0531,-135.33,14.94,82,100,6.69,US,1724609531
132,nemuro,43.3236,145.575,15.91,88,100,3.93,JP,1724609532
133,san salvador de jujuy,-24.1946,-65.2971,12.74,34,19,3.95,AR,1724609533
134,cooma,-36.2333,149.1333,6.57,79,49,5.45,AU,1724609535
135,tolanaro,-25.0319,46.9987,21.04,73,20,9.26,MG,1724609536
136,dubbo,-32.25,148.6167,15.07,77,90,4.63,AU,1724609537
137,bredasdorp,-34.5322,20.0403,11.44,77,93,2.06,ZA,1724609538
138,xilin hot,43.9667,116.0333,14.24,57,70,1.15,CN,1724609540
139,ende,-8.8432,121.6623,22.73,93,68,1.6,ID,1724609541
140,kodinsk,58.6881,99.1844,14.91,98,98,0.63,RU,1724609542
141,kailua-kona,19.6406,-155.9956,25.33,98,75,4.63,US,1724609543
142,novoul'yanovsk,54.1496,48.3891,18.28,71,13,1.66,RU,1724609544
143,cadale,2.7603,46.3222,25.32,85,95,7.5,SO,1724609546
144,anadyr,64.75,177.4833,6.28,75,75,5.0,RU,1724609547
145,hamilton,39.1834,-84.5333,34.4,45,20,3.09,US,1724609057
146,cole harbour,44.6724,-63.4751,27.76,59,38,2.68,CA,1724609549
147,constantia,44.1833,28.65,25.39,81,0,4.83,RO,1724609550
148,mitu,1.1983,-70.1733,32.88,52,67,0.92,CO,1724609342
149,luderitz,-26.6481,15.1594,14.45,72,0,6.55,NA,1724609553
150,aasiaat,68.7098,-52.8699,3.01,91,100,2.3,GL,1724609554
151,vicente guerrero,19.1194,-98.1708,22.66,35,1,1.79,MX,1724609555
152,saipan,15.1355,145.701,28.39,83,40,0.0,MP,1724609556
153,orcopampa,-15.2661,-72.3417,17.18,19,16,1.51,PE,1724609558
154,aldinga beach,-35.2793,138.4604,14.26,95,72,6.19,AU,1724609559
155,dahab,28.501,34.5134,31.54,48,0,0.97,EG,1724609560
156,florence,43.7667,11.25,29.82,48,0,4.12,IT,1724609561
157,newman,37.3138,-121.0208,24.46,49,0,4.02,US,1724609562
158,kone,-21.0595,164.8658,18.08,91,24,1.76,NC,1724609563
159,la passe,45.5549,-0.8967,18.68,57,0,6.18,FR,1724609565
160,collie,-33.3667,116.15,13.22,81,62,4.33,AU,1724609566
161,las lomas,8.4333,-82.4,28.55,71,63,3.13,PA,1724609567
162,fort bragg,35.139,-79.006,30.51,41,0,3.6,US,1724609568
163,san andres,12.5847,-81.7006,32.01,70,20,5.14,CO,1724609570
164,inarajan village,13.2736,144.7484,26.89,94,97,1.43,GU,1724609571
165,saldanha,-33.0117,17.9442,11.03,84,71,4.54,ZA,1724609572
166,malpica,43.3228,-8.8105,21.32,92,20,7.13,ES,1724609573
167,jutai,-5.1833,-68.9,38.44,22,26,2.63,BR,1724609574
168,freetown,8.484,-13.2299,24.84,83,75,3.09,SL,1724609575
169,stanley,54.868,-1.6985,15.16,82,75,6.17,GB,1724609347
170,papao,-17.75,-149.55,25.82,80,100,11.93,PF,1724609578
171,prineville,44.2999,-120.8345,18.39,51,0,1.54,US,1724609579
172,iskateley,67.6803,53.1512,10.99,92,41,3.29,RU,1724609580
173,sierra grande,-41.606,-65.3557,12.0,28,93,12.5,AR,1724609581
174,tefe,-3.3542,-64.7114,36.06,41,20,4.12,BR,1724609583
175,cabo san lucas,22.8909,-109.9124,35.17,49,40,6.17,MX,1724609584
176,thompson,55.7435,-97.8558,28.33,56,72,4.47,CA,1724609387
177,correntina,-13.3433,-44.6367,34.39,13,0,2.02,BR,1724609586
178,tura,25.5198,90.2201,23.97,91,57,2.61,IN,1724609587
179,hawaiian paradise park,19.5933,-154.9731,24.94,99,100,8.23,US,1724609588
180,lido di ostia,41.7321,12.2765,29.13,48,0,5.66,IT,1724609590
181,kolokani,13.5728,-8.0339,26.76,78,77,2.34,ML,1724609591
182,tulun,54.5611,100.5792,16.02,85,99,2.03,RU,1724609592
183,kargil,34.5667,76.1,14.25,45,45,4.28,IN,1724609593
184,mount isa,-20.7333,139.5,12.87,58,0,0.0,AU,1724609594
185,aral,40.5156,81.2636,28.07,30,0,0.8,CN,1724609595
186,ban houayxay,20.2453,100.4547,22.52,100,100,0.41,LA,1724609597
187,tralee,52.2704,-9.7026,15.14,82,40,8.23,IE,1724609598
188,zag,46.9441,99.165,14.01,60,45,1.4,MN,1724609599
189,baker city,44.7749,-117.8344,18.84,42,0,3.09,US,1724609474
190,saint-philippe,-21.3585,55.7679,19.44,73,79,7.28,RE,1724609602
191,port lincoln,-34.7333,135.8667,13.16,88,16,5.84,AU,1724609509
192,sibolga,1.7427,98.7792,24.62,88,90,1.26,ID,1724609604
193,hami,42.8,93.45,31.68,24,30,4.9,CN,1724609608
